id	word
685	垂
686	垄
687	垆
688	垍
689	垒
690	垓
691	垢
692	垣
693	垤
694	垦
695	埃
696	埇
697	埋
698	城
699	埏
700	埒
701	域
702	埤
703	埭
704	基
705	堂
706	堆
707	堑
708	堕
709	堞
710	堠
711	堡
712	堤
713	堪
714	堰
715	堵
716	塍
717	塔
718	塘
719	塞
720	塠
721	填
722	墀
723	境
724	墅
725	墉
726	墓
727	墙
728	增
729	墟
730	墨
731	壁
732	壑
733	壤
734	士
735	壬
736	壮
737	声
738	壳
739	壶
740	处
741	备
742	复
743	夏
744	夐
745	夔
746	夕
747	外
748	多
749	夜
750	夤
751	大
752	天
753	太
754	夫
755	夭
756	央
757	失
758	头
759	夷
760	夸
761	夹
762	夺
763	奇
764	奈
765	奉
766	奋
767	奏
768	契
769	奔
770	奕
771	奖
772	奘
773	奚
774	奠
775	奢
776	女
777	奴
778	奸
779	好
780	如
781	妃
782	妄
783	妆
784	妇
785	妍
786	妒
787	妓
788	妖
789	妙
790	妤
791	妨
792	妩
793	妹
794	妻
795	妾
796	姊
797	始
798	姑
799	姒
800	姓
801	委
802	姚
803	姜
804	姝
805	姥
806	姨
807	姬
808	姮
809	姹
810	姻
811	姿
812	威
813	娃
814	娄
815	娆
816	娇
817	娉
818	娑
819	娘
820	娜
821	娟
822	娥
823	娱
824	娵
825	娶
826	娼
827	婀
828	婆
829	婉
830	婑
831	婕
832	婚
833	婢
834	婴
835	婵
836	婷
837	婺
838	婿
839	媒
840	媚
841	媠
842	媸
843	嫁
844	嫂
845	嫌
846	嫔
847	嫖
848	嫡
849	嫦
850	嫩
851	嫫
852	嬉
853	嬴
854	嬿
855	孀
856	子
857	孑
858	孔
859	字
860	存
861	孙
862	孚
863	孝
864	孟
865	季
866	孤
867	孥
868	学
869	孩
870	孰
871	孱
872	孺
873	孽
874	宁
875	它
876	宅
877	宇
878	守
879	安
880	宋
881	宏
882	宓
883	宗
884	官
885	定
886	宛
887	宜
888	宝
889	实
890	宠
891	审
892	客
893	宣
894	室
895	宥
896	宦
897	宪
898	宫
899	宰
900	害
901	宴
902	宵
903	家
904	宸
905	容
906	宽
907	宾
908	宿
909	寀
910	寂
911	寄
912	寅
913	密
914	寇
915	富
916	寐
917	寒
918	寓
919	寝
920	寞
921	察
922	寡
923	寤
924	寥
925	寨
926	寮
927	寰
928	寸
929	对
930	寺
931	寻
932	导
933	寿
934	封
935	射
936	将
937	尉
938	尊
939	小
940	少
941	尔
942	尖
943	尘
944	尚
945	尝
946	尤
947	尧
948	就
949	尸
950	尹
951	尺
952	尼
953	尽
954	尾
955	局
956	层
957	居
958	屈
959	屋
960	屎
961	屏
962	屐
963	屑
964	展
965	属
966	屟
967	屠
968	屡
969	屣
970	履
971	屦
972	屯
973	山
974	屿
975	岁
976	岂
977	岏
978	岐
979	岑
980	岖
981	岗
982	岘
983	岙
984	岚
985	岛
986	岧
987	岩
988	岫
989	岭
990	岱
991	岳
992	岷
993	岸
994	峄
995	峒
996	峙
997	峡
998	峣
999	峤
1000	峥
1001	峦
1002	峨
1003	峭
1004	峰
1005	峻
1006	崆
1007	崇
1008	崎
1009	崒
1010	崔
1011	崖
1012	崟
1013	崦
1014	崧
1015	崩
1016	崿
1017	嵇
1018	嵋
1019	嵌
1020	嵍
1021	嵘
1022	嵩
1023	嵬
1024	嵯
1025	嶂
1026	嶙
1027	嶮
1028	巂
1029	巅
1030	巇
1031	巍
1032	巏
1033	巑
1034	巘
1035	川
1036	州
1037	巡
1038	巢
1039	工
1040	左
1041	巧
1042	巨
1043	巩
1044	巫
1045	差
1046	己
1047	已
1048	巳
1049	巴
1050	巷
1051	巾
1052	币
1053	市
1054	布
1055	帅
1056	帆
1057	师
1058	希
1059	帏
1060	帐
1061	帔
1062	帕
1063	帖
1064	帘
1065	帙
1066	帚
1067	帛
1068	帜
1069	帝
1070	带
1071	席
1072	帷
1073	常
1074	帻
1075	帽
1076	幂
1077	幄
1078	幅
1079	幌
1080	幔
1081	幕
1082	幛
1083	幞
1084	幡
1085	幢
1086	幨
1087	干
1088	平
1089	年
1090	并
1091	幸
1092	幻
1093	幼
1094	幽
1095	广
1096	庄
1097	庆
1098	庇
1099	床
1100	序
1101	庐
1102	库
1103	应
1104	底
1105	庖
1106	店
1107	庙
1108	庚
1109	府
1110	庞
1111	废
1112	庠
1113	度
1114	座
1115	庭
1116	庵
1117	庶
1118	康
1119	庸
1120	庾
1121	廉
1122	廊
1123	廓
1124	廖
1125	廛
1126	廨
1127	延
1128	廷
1129	建
1130	开
1131	弁
1132	异
1133	弃
1134	弄
1135	弈
1136	弊
1137	弋
1138	式
1139	弓
1140	引
1141	弗
1142	弘
1143	弝
1144	弟
1145	张
1146	弥
1147	弦
1148	弯
1149	弱
1150	弹
1151	强
1152	弼
1153	归
1154	当
1155	录
1156	彗
1157	彝
1158	形
1159	彤
1160	彦
1161	彧
1162	彩
1163	彭
1164	彰
1165	影
1166	役
1167	彻
1168	彼
1169	往
1170	征
1171	径
1172	待
1173	徉
1174	徊
1175	律
1176	徐
1177	徒
1178	得
1179	徘
1180	徙
1181	徜
1182	御
1183	循
1184	微
1185	徵
1186	德
1187	徼
1188	徽
1189	心
1190	必
1191	忆
1192	忌
1193	忍
1194	忒
1195	志
1196	忘
1197	忙
1198	忝
1199	忠
1200	忤
1201	忧
1202	快
1203	念
1204	忽
1205	忿
1206	怀
1207	态
1208	怅
1209	怆
1210	怒
1211	怕
1212	怜
1213	思
1214	怡
1215	急
1216	性
1217	怨
1218	怪
1219	怯
1220	总
1221	恁
1222	恃
1223	恋
1224	恍
1225	恐
